_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
17,2017-08-01T02:42:00,20.84,0.17,90.41,998.52,0.0000,3.39,269,19.21,27.63,4.61
18,2017-08-01T02:52:00,20.61,0.17,90.60,998.91,0.0000,5.50,243,19.02,27.26,7.11
19,2017-08-01T03:02:00,20.62,0.09,91.44,999.39,0.0000,5.57,233,19.18,27.39,7.30
20,2017-08-01T03:12:00,20.67,0.12,90.72,1000.13,0.0000,7.71,255,19.10,27.38,11.68
21,2017-08-01T03:22:00,20.72,0.10,88.21,1000.23,0.0000,8.54,283,18.71,27.13,13.67
22,2017-08-01T03:32:00,20.86,0.07,86.32,1000.73,0.0000,5.60,280,18.50,27.12,8.96
23,2017-08-01T03:42:00,20.96,0.08,85.06,1000.59,0.0000,3.35,7,18.36,27.11,7.05
24,2017-08-01T03:52:00,20.83,0.02,84.60,1000.55,0.0000,4.44,21,18.14,26.82,6.42
25,2017-08-01T04:02:00,20.58,0.01,84.49,1000.61,0.0000,2.39,79,17.88,26.38,4.99
26,2017-08-01T04:12:00,20.66,0.12,84.62,1000.82,0.0000,3.59,160,17.98,26.53,5.66
27,2017-08-01T04:22:00,20.62,0.04,85.35,1000.76,0.0000,3.25,160,18.08,26.56,4.25
28,2017-08-01T04:32:00,20.20,-0.01,87.50,1000.65,0.0000,4.45,144,18.06,26.14,6.38
29,2017-08-01T04:42:00,20.02,-0.04,88.51,1000.67,0.0000,2.56,96,18.06,25.95,3.75
30,2017-08-01T04:52:00,19.95,0.04,88.88,1000.73,0.0000,3.01,129,18.07,19.95,4.94
31,2017-08-01T05:02:00,19.93,0.18,88.87,1001.18,0.0000,2.09,62,18.04,19.93,3.89
32,2017-08-01T05:12:00,20.13,0.20,88.24,1002.05,0.0000,5.49,285,18.13,26.11,8.21
33,2017-08-01T05:22:00,20.31,0.01,86.75,1001.77,0.0000,4.40,19,18.03,26.22,7.15
34,2017-08-01T05:32:00,20.13,0.18,87.54,1001.64,0.0000,5.89,102,18.00,26.02,8.86
35,2017-08-01T05:42:00,20.04,0.67,87.84,1001.70,0.0000,1.48,42,17.96,25.90,2.32
36,2017-08-01T05:52:00,19.84,1.82,88.24,1001.62,0.0000,4.65,108,17.84,19.84,7.16
37,2017-08-01T06:02:00,19.66,4.03,88.87,1001.42,0.0000,4.06,110,17.78,19.66,5.78
38,2017-08-01T06:12:00,19.46,7.87,89.38,1001.20,0.0000,5.42,104,17.67,19.46,6.53
39,2017-08-01T06:22:00,19.51,15.82,88.92,1001.06,0.0000,6.41,103,17.63,19.51,9.55
40,2017-08-01T06:32:00,19.75,19.52,87.01,1000.85,0.0000,6.56,102,17.52,19.75,8.04
41,2017-08-01T06:42:00,19.95,29.21,85.08,1000.78,0.0000,7.51,97,17.37,19.95,9.90
42,2017-08-01T06:52:00,20.45,56.17,82.76,1000.82,0.0000,7.00,105,17.42,25.92,8.39
43,2017-08-01T07:02:00,20.70,74.29,81.11,1000.87,0.0000,7.18,107,17.34,26.12,11.39
44,2017-08-01T07:12:00,21.00,93.94,80.19,1000.82,0.0000,8.05,104,17.46,26.50,9.42
45,2017-08-01T07:22:00,21.28,113.36,79.12,1000.83,0.0000,9.81,108,17.52,26.83,13.85
46,2017-08-01T07:32:00,21.48,70.38,78.09,1000.74,0.0000,8.70,102,17.51,27.02,10.78
47,2017-08-01T07:42:00,21.55,132.66,77.89,1000.74,0.0000,9.70,102,17.53,27.11,14.94
48,2017-08-01T07:52:00,21.92,118.67,75.87,1000.85,0.0000,9.12,98,17.47,27.43,12.62
49,2017-08-01T08:02:00,22.18,129.79,74.66,1000.62,0.0000,9.12,100,17.47,27.70,11.86
50,2017-08-01T08:12:00,22.52,118.14,72.33,1000.62,0.0000,11.62,101,17.30,27.91,15.88
51,2017-08-01T08:22:00,23.06,248.46,70.16,1000.52,0.0000,13.16,96,17.33,28.48,16.78
52,2017-08-01T08:32:00,23.45,282.27,68.74,1000.62,0.0000,12.06,100,17.38,28.90,17.96
53,2017-08-01T08:39:00,23.66,298.44,67.21,1000.65,0.0000,10.75,100,17.23,29.00,14.78
54,2017-08-01T08:52:00,24.43,337.46,64.39,1000.90,0.0000,10.96,100,17.28,29.82,15.64
55,2017-08-01T09:02:00,24.87,347.96,62.56,1001.04,0.0000,10.62,98,17.24,30.22,12.83
56,2017-08-01T09:12:00,25.55,403.64,60.13,1001.32,0.0000,6.53,105,17.25,30.91,10.55
57,2017-08-01T09:22:00,25.47,469.41,60.20,1001.58,0.0000,6.30,112,17.20,30.80,10.10
58,2017-08-01T09:32:00,25.68,462.61,58.65,1001.65,0.0000,6.74,93,16.98,30.85,10.54
59,2017-08-01T09:42:00,26.36,465.20,56.07,1001.50,0.0000,7.52,96,16.90,31.47,11.59
60,2017-08-01T09:52:00,26.39,506.44,55.37,1001.73,0.0000,5.29,91,16.73,31.39,10.13
61,2017-08-01T10:02:00,26.78,580.71,55.01,1001.63,0.0000,7.90,90,17.00,31.96,10.62
62,2017-08-01T10:12:00,26.72,458.71,54.23,1001.53,0.0000,6.32,83,16.72,31.72,11.56
63,2017-08-01T10:22:00,27.22,592.47,53.62,1001.50,0.0000,10.02,95,17.00,32.41,14.82
64,2017-08-01T10:32:00,27.18,485.77,53.26,1001.57,0.0000,6.45,83,16.85,32.26,9.88
65,2017-08-01T10:42:00,27.17,184.37,53.96,1001.55,0.0000,4.88,57,17.05,32.38,7.75
66,2017-08-01T10:52:00,27.07,650.23,53.10,1001.28,0.0000,7.17,84,16.71,32.05,11.70
67,2017-08-01T11:02:00,27.72,727.63,50.76,1001.19,0.0000,8.03,79,16.59,32.62,12.18
68,2017-08-01T11:12:00,28.16,379.20,50.02,1001.11,0.0000,9.24,79,16.77,33.18,12.55
69,2017-08-01T11:22:00,28.08,253.40,49.34,1001.03,0.0000,7.03,88,16.48,32.92,11.46
70,2017-08-01T11:32:00,27.60,440.99,49.82,1000.91,0.0000,6.76,68,16.19,32.24,12.79
71,2017-08-01T11:42:00,27.84,716.85,52.38,1000.96,0.0000,8.68,18,17.20,33.15,11.87
72,2017-08-01T11:52:00,27.96,364.46,54.10,1000.83,0.0000,8.64,24,17.83,33.71,13.99
73,2017-08-01T12:02:00,27.93,348.48,50.00,1000.90,0.0000,9.80,27,16.56,32.82,17.06
74,2017-08-01T12:12:00,27.64,816.40,50.32,1000.84,0.0000,13.29,29,16.39,32.41,15.30
75,2017-08-01T12:22:00,28.05,476.55,50.42,1000.78,0.0000,13.67,30,16.80,33.09,20.60
76,2017-08-01T12:32:00,28.27,922.29,50.04,1000.67,0.0000,10.08,34,16.88,33.37,14.02
77,2017-08-01T12:42:00,28.85,877.31,49.24,1000.72,0.0000,8.59,45,17.15,34.13,12.40
78,2017-08-01T12:52:00,29.24,731.35,47.76,1000.67,0.0000,8.39,82,17.03,34.43,13.14
79,2017-08-01T13:02:00,28.67,500.41,49.63,1000.44,0.0000,10.37,30,17.11,33.93,14.35
80,2017-08-01T13:12:00,28.99,720.66,49.81,1000.33,0.0000,9.64,37,17.47,34.49,13.12
81,2017-08-01T13:22:00,29.07,623.70,48.59,1000.17,0.0000,6.75,56,17.14,34.34,13.39
82,2017-08-01T13:32:00,29.22,811.43,48.95,1000.17,0.0000,9.61,36,17.39,34.66,15.28
83,2017-08-01T13:42:00,29.60,738.38,47.76,1000.17,0.0000,9.35,39,17.35,35.01,15.72
84,2017-08-01T13:52:00,29.67,773.94,47.95,1000.20,0.0000,10.77,37,17.49,35.18,14.20
85,2017-08-01T14:02:00,30.05,843.36,47.08,1000.04,0.0000,7.53,12,17.54,35.60,9.15
86,2017-08-01T14:12:00,30.27,794.78,45.72,1000.13,0.0000,9.88,27,17.27,35.63,14.51
87,2017-08-01T14:21:00,30.31,789.84,45.70,1000.17,0.0000,8.05,21,17.31,35.69,10.34
88,2017-08-01T14:31:00,30.41,787.67,44.36,1000.05,0.0000,8.74,8,16.93,35.53,13.11
89,2017-08-01T14:42:00,30.82,805.82,44.78,1000.34,0.0000,6.40,327,17.44,36.29,11.13
90,2017-08-01T14:52:00,30.83,361.33,44.10,1000.47,0.0000,8.38,301,17.21,36.14,12.78
91,2017-08-01T15:01:00,30.01,549.13,47.25,1000.56,0.0000,11.32,304,17.56,35.57,15.73
92,2017-08-01T15:12:00,30.34,859.06,47.58,1000.58,0.0000,9.30,320,17.97,36.19,13.19
93,2017-08-01T15:22:00,30.26,490.33,47.05,1000.85,0.0000,11.73,315,17.72,35.93,15.55
94,2017-08-01T15:32:00,29.67,250.61,47.60,1001.21,0.0000,12.75,302,17.37,35.10,18.71
95,2017-08-01T15:42:00,29.15,174.39,49.06,1001.74,0.0000,12.47,313,17.37,34.58,19.25
96,2017-08-01T15:52:00,28.92,71.43,47.65,1002.29,0.0000,13.00,290,16.70,33.90,18.26
97,2017-08-01T16:01:00,28.28,293.82,53.80,1002.06,0.0100,15.16,287,18.04,34.19,25.75
98,2017-08-01T16:12:00,26.27,293.65,62.78,1001.58,0.0200,13.92,308,18.62,32.60,19.68
99,2017-08-01T16:21:00,25.99,253.81,62.52,1001.27,0.0000,12.05,330,18.29,32.09,16.14
100,2017-08-01T16:31:00,25.88,420.11,62.54,1001.15,0.0000,7.32,328,18.19,31.90,12.07
101,2017-08-01T16:41:00,26.29,661.97,62.46,1001.14,0.0000,7.34,330,18.56,32.58,11.51
102,2017-08-01T16:51:00,26.20,245.54,60.66,1001.14,0.0000,11.23,340,18.01,32.09,15.47
103,2017-08-01T17:01:00,26.06,150.63,60.62,1001.55,0.0000,8.16,329,17.86,31.84,13.46
104,2017-08-01T17:11:00,25.45,299.80,64.58,1001.74,0.0150,7.61,11,18.30,31.55,17.55
105,2017-08-01T17:21:00,25.53,149.86,63.64,1001.38,0.0000,8.67,9,18.13,31.51,10.60
106,2017-08-01T17:31:00,25.68,266.51,59.93,1001.35,0.0000,10.87,41,17.32,31.08,13.32
107,2017-08-01T17:42:00,25.71,65.14,61.62,1000.73,0.0000,9.08,81,17.79,31.45,12.97
108,2017-08-01T17:52:00,25.44,27.65,62.90,1000.59,0.0000,8.81,94,17.87,31.23,14.53
109,2017-08-01T18:01:00,25.35,19.93,62.57,1001.25,0.0000,4.96,88,17.69,31.02,7.48
110,2017-08-01T18:11:00,25.14,12.06,62.65,1002.31,0.0000,5.73,119,17.52,30.69,9.82
111,2017-08-01T18:21:00,24.86,74.39,66.78,1001.16,0.0950,8.21,102,18.26,30.93,12.81
112,2017-08-01T18:32:00,24.02,80.58,73.87,1000.32,0.2300,6.23,82,19.07,30.70,8.87
113,2017-08-01T18:41:00,23.99,57.89,72.10,1000.19,0.0050,8.85,95,18.66,30.36,16.00
114,2017-08-01T18:51:00,23.92,36.90,74.17,1000.46,0.0000,9.88,98,19.05,30.58,14.35
115,2017-08-01T19:01:00,23.80,17.45,73.10,1000.56,0.0000,8.98,105,18.70,30.20,12.48
116,2017-08-01T19:12:00,23.88,29.70,72.35,1000.85,0.0000,6.25,111,18.61,30.21,10.13
117,2017-08-01T19:21:00,23.97,13.07,71.10,1001.38,0.0000,2.85,117,18.42,30.16,5.03
118,2017-08-01T19:31:00,24.12,13.79,70.87,1001.05,0.0000,2.23,23,18.51,30.38,4.13
119,2017-08-01T19:41:00,24.28,15.27,70.89,1001.30,0.0000,2.40,82,18.66,30.65,5.05
120,2017-08-01T19:51:00,23.52,25.93,76.26,1001.26,0.0600,7.61,302,19.11,30.23,13.65
121,2017-08-01T20:01:00,22.90,17.02,82.88,1001.26,0.0000,7.94,330,19.84,30.18,11.62
122,2017-08-01T20:12:00,22.76,13.26,84.77,1001.69,0.0200,5.63,341,20.07,30.23,7.61
123,2017-08-01T20:21:00,22.41,14.79,85.28,1001.51,0.0000,9.02,352,19.82,29.67,11.90
124,2017-08-01T20:31:00,22.32,3.13,85.49,1002.05,0.0000,4.90,33,19.78,29.56,6.74
125,2017-08-01T20:41:00,22.66,5.86,84.25,1002.72,0.0350,3.50,133,19.87,29.96,6.65
126,2017-08-01T20:51:00,22.77,2.27,83.87,1003.24,0.0650,5.10,27,19.91,30.11,9.85
127,2017-08-01T21:01:00,22.73,1.06,81.46,1004.04,0.0150,4.76,289,19.39,29.66,9.02
128,2017-08-01T21:11:00,22.69,0.36,81.83,1003.59,0.3650,4.20,100,19.43,29.64,9.09
129,2017-08-01T21:22:00,21.95,0.10,90.98,1002.03,0.4750,11.17,98,20.42,29.70,18.33
130,2017-08-01T21:31:00,21.75,0.06,91.79,1001.62,0.1500,5.31,63,20.35,29.44,8.32
131,2017-08-01T21:41:00,21.82,-0.02,91.76,1002.60,0.0350,6.08,132,20.42,29.57,10.35
132,2017-08-01T21:51:00,21.84,0.16,91.84,1003.85,0.0100,5.72,249,20.46,29.62,7.79
133,2017-08-01T22:02:00,21.69,0.07,91.96,1004.15,0.0000,5.43,225,20.33,29.37,7.44
134,2017-08-01T22:11:00,21.84,0.06,92.51,1003.28,0.0050,4.46,130,20.58,29.72,6.08
135,2017-08-01T22:21:00,21.68,0.04,92.50,1003.17,0.0050,3.06,56,20.42,29.43,8.89
136,2017-08-01T22:31:00,21.67,0.01,92.75,1003.13,0.0000,3.49,87,20.45,29.45,4.90
137,2017-08-01T22:41:00,21.71,0.04,92.49,1002.67,0.0050,4.50,104,20.44,29.47,9.94
138,2017-08-01T22:51:00,21.66,-0.02,92.39,1003.09,0.0000,2.40,66,20.38,29.38,6.05
139,2017-08-01T23:01:00,21.59,0.08,92.39,1003.21,0.0000,2.69,90,20.30,29.25,5.15
140,2017-08-01T23:11:00,21.51,0.00,93.01,1003.15,0.0000,5.12,349,20.33,29.19,7.01
141,2017-08-01T23:21:00,21.24,0.00,93.49,1003.27,0.0000,4.97,36,20.15,28.77,7.99
142,2017-08-01T23:31:00,21.37,-0.03,93.33,1003.94,0.0000,2.23,330,20.26,28.99,3.06
143,2017-08-01T23:41:00,21.33,0.02,93.45,1004.09,0.0000,1.53,153,20.23,28.93,4.68
144,2017-08-01T23:51:00,21.51,0.06,93.45,1004.23,0.0000,3.77,100,20.41,29.26,5.48
145,2017-08-02T00:01:00,21.41,0.04,92.98,1004.12,0.0000,1.11,47,20.23,29.00,2.01
146,2017-08-02T00:11:00,21.40,0.01,92.47,1003.92,0.0000,1.56,38,20.13,28.92,2.50
147,2017-08-02T00:21:00,21.42,0.08,93.01,1003.95,0.0000,0.92,46,20.24,29.02,3.29
148,2017-08-02T00:31:00,21.46,0.07,92.73,1004.04,0.0000,3.54,169,20.24,29.06,5.14
149,2017-08-02T00:41:00,21.38,0.12,93.21,1004.08,0.0000,3.94,222,20.24,28.99,6.28
150,2017-08-02T00:51:00,21.23,0.10,93.94,1003.94,0.0000,6.13,205,20.22,28.82,8.64
151,2017-08-02T01:01:00,21.16,0.10,94.38,1003.65,0.0000,4.82,230,20.22,28.75,6.22
152,2017-08-02T01:11:00,21.14,0.04,94.47,1003.65,0.0000,3.95,205,20.22,28.74,6.34
153,2017-08-02T01:21:00,20.94,0.04,94.39,1003.87,0.0000,7.67,180,20.01,28.36,10.25
154,2017-08-02T01:31:00,20.78,0.06,94.71,1003.92,0.0000,7.39,195,19.90,28.11,8.87
155,2017-08-02T01:41:00,20.84,0.09,94.86,1004.01,0.0000,5.43,204,19.99,28.25,9.07
156,2017-08-02T01:51:00,20.71,0.10,94.81,1003.76,0.0000,4.04,227,19.85,28.00,7.39
157,2017-08-02T02:01:00,20.75,0.11,94.81,1003.89,0.0000,5.14,233,19.89,28.07,6.20
158,2017-08-02T02:11:00,20.85,0.09,94.69,1004.22,0.0000,6.57,236,19.97,28.24,8.90
159,2017-08-02T02:21:00,20.92,0.05,94.58,1004.07,0.0000,8.90,238,20.02,28.34,12.64
160,2017-08-02T02:31:00,21.00,0.08,94.24,1003.99,0.0000,6.83,250,20.04,28.44,9.36
161,2017-08-02T02:41:00,21.02,0.06,94.11,1004.03,0.0000,6.86,270,20.04,28.46,11.19
162,2017-08-02T02:51:00,20.98,0.06,94.31,1004.03,0.0000,6.30,263,20.03,28.42,9.05
163,2017-08-02T03:01:00,20.89,0.14,94.42,1004.15,0.0000,4.70,239,19.96,28.27,6.10
164,2017-08-02T03:11:00,20.87,0.05,94.49,1004.03,0.0000,5.49,228,19.95,28.25,7.21
165,2017-08-02T03:21:00,20.82,0.11,94.57,1003.91,0.0000,4.36,230,19.92,28.17,6.59
166,2017-08-02T03:31:00,20.83,0.06,94.36,1003.62,0.0000,4.49,209,19.90,28.16,6.65
167,2017-08-02T03:41:00,20.95,0.10,94.25,1003.43,0.0000,2.89,194,19.99,28.35,5.15
168,2017-08-02T03:51:00,20.89,0.07,94.19,1003.43,0.0000,2.19,193,19.92,28.23,3.70
169,2017-08-02T04:01:00,20.91,0.04,94.32,1003.64,0.0000,4.15,227,19.96,28.29,5.21
170,2017-08-02T04:11:00,20.85,0.17,94.21,1003.81,0.0000,3.57,228,19.89,28.18,4.58
171,2017-08-02T04:21:00,20.92,0.19,94.14,1003.76,0.0000,4.02,247,19.95,28.29,5.77
172,2017-08-02T04:31:00,20.73,0.11,94.08,1003.96,0.0000,2.92,234,19.74,27.94,6.04
173,2017-08-02T04:41:00,20.56,0.12,94.41,1003.97,0.0000,6.87,234,19.63,27.67,9.08
174,2017-08-02T04:51:00,20.57,0.10,94.69,1004.15,0.0000,6.25,219,19.69,27.74,7.97
175,2017-08-02T05:01:00,20.61,0.10,94.38,1004.26,0.0000,5.47,209,19.68,27.77,7.19
176,2017-08-02T05:11:00,20.57,0.08,92.54,1004.26,0.0000,6.26,229,19.32,27.45,8.76
177,2017-08-02T05:21:00,20.52,0.10,92.00,1004.37,0.0000,5.94,208,19.17,27.28,8.17
178,2017-08-02T05:31:00,20.51,0.11,92.37,1004.51,0.0000,6.59,210,19.23,27.31,8.75
179,2017-08-02T05:41:00,20.52,0.26,92.32,1004.58,0.0000,6.42,221,19.23,27.32,9.46
180,2017-08-02T05:51:00,20.57,1.19,91.55,1004.39,0.0000,4.18,235,19.15,27.31,6.50
181,2017-08-02T06:01:00,20.42,2.79,91.11,1004.43,0.0000,5.55,237,18.92,26.99,8.54
182,2017-08-02T06:12:00,20.37,4.89,91.76,1004.52,0.0000,4.77,226,18.99,26.99,6.09
183,2017-08-02T06:21:00,20.35,6.88,92.22,1004.50,0.0000,3.52,228,19.05,27.02,6.64
184,2017-08-02T06:31:00,20.24,11.88,92.77,1004.60,0.0000,6.36,226,19.04,26.90,8.78
185,2017-08-02T06:41:00,20.29,15.61,93.08,1004.64,0.0000,4.68,227,19.14,27.03,8.87
186,2017-08-02T06:51:00,20.07,29.17,93.17,1004.60,0.0000,4.53,226,18.93,26.64,7.62
187,2017-08-02T07:01:00,20.27,36.40,92.88,1004.85,0.0000,5.81,241,19.08,26.96,8.12
188,2017-08-02T07:11:00,20.51,43.50,92.21,1004.98,0.0000,5.20,241,19.20,27.30,8.80
189,2017-08-02T07:21:00,20.52,36.58,91.56,1005.16,0.0000,6.09,243,19.10,27.22,8.65
190,2017-08-02T07:31:00,20.52,54.30,91.55,1005.25,0.0000,6.30,239,19.10,27.23,10.50
191,2017-08-02T07:41:00,20.62,75.73,90.88,1005.35,0.0000,6.96,254,19.08,27.31,10.95
192,2017-08-02T07:51:00,20.81,85.80,90.43,1005.43,0.0000,6.35,253,19.19,27.58,8.93
193,2017-08-02T08:01:00,20.83,150.25,89.77,1005.49,0.0000,6.78,243,19.09,27.54,9.51
194,2017-08-02T08:11:00,21.10,121.53,88.72,1005.55,0.0000,5.64,271,19.16,27.85,10.07
195,2017-08-02T08:21:00,21.31,136.89,88.56,1005.61,0.0000,2.89,250,19.35,28.21,6.13
196,2017-08-02T08:31:00,21.33,121.35,87.57,1005.62,0.0000,5.94,206,19.19,28.11,8.57
197,2017-08-02T08:39:00,21.41,91.69,87.40,1005.81,0.0000,6.06,228,19.24,28.22,9.05
198,2017-08-02T08:51:00,21.40,119.81,86.97,1005.97,0.0000,6.55,232,19.15,28.15,8.79
199,2017-08-02T09:01:00,21.40,101.33,86.66,1006.03,0.0000,7.13,228,19.09,28.10,9.42
200,2017-08-02T09:11:00,21.70,198.22,86.62,1006.02,0.0000,4.64,218,19.37,28.61,8.82
201,2017-08-02T09:21:00,21.69,207.54,85.60,1006.12,0.0000,6.61,255,19.17,28.45,10.20
202,2017-08-02T09:31:00,21.60,113.89,85.94,1006.06,0.0000,8.03,237,19.15,28.34,9.44
203,2017-08-02T09:41:00,21.69,283.82,86.04,1006.11,0.0000,7.34,226,19.26,28.51,10.12
204,2017-08-02T09:51:00,22.36,675.60,84.51,1005.96,0.0000,4.28,251,19.62,29.46,6.07
205,2017-08-02T09:56:00,22.90,366.93,81.95,1006.00,0.0000,4.04,251,19.65,30.03,5.88
206,2017-08-02T10:11:00,22.83,514.41,81.11,1006.00,0.0000,4.58,241,19.42,29.77,7.53
207,2017-08-02T10:21:00,22.86,170.33,80.42,1005.99,0.0000,4.91,273,19.32,29.73,8.26
208,2017-08-02T10:31:00,22.52,194.36,81.62,1006.07,0.0000,8.55,237,19.22,29.31,11.65
209,2017-08-02T10:41:00,22.65,201.99,80.17,1006.09,0.0000,7.86,254,19.06,29.33,12.92
210,2017-08-02T10:51:00,22.98,400.74,79.33,1006.08,0.0000,6.90,225,19.22,29.78,10.44
211,2017-08-02T11:01:00,23.44,427.21,76.87,1006.12,0.0000,6.35,242,19.16,30.19,10.32
212,2017-08-02T11:11:00,23.72,742.67,75.93,1006.10,0.0000,7.59,219,19.23,30.52,11.53
213,2017-08-02T11:21:00,23.73,418.48,75.42,1006.11,0.0000,7.21,235,19.13,30.46,13.30
214,2017-08-02T11:31:00,23.92,412.39,73.13,1006.10,0.0000,6.49,206,18.81,30.40,10.52
215,2017-08-02T11:41:00,24.32,384.03,71.00,1006.06,0.0000,7.88,224,18.73,30.74,11.81
216,2017-08-02T11:51:00,24.40,378.03,69.83,1005.85,0.0000,9.05,234,18.54,30.67,11.94
217,2017-08-02T12:01:00,24.86,628.91,68.39,1005.82,0.0000,6.34,253,18.65,31.22,10.31
218,2017-08-02T12:11:00,24.90,546.69,68.17,1005.79,0.0000,7.96,252,18.63,31.24,10.77
219,2017-08-02T12:21:00,25.22,742.49,66.80,1005.76,0.0000,7.88,258,18.61,31.55,13.27
220,2017-08-02T12:31:00,25.11,884.51,65.66,1005.57,0.0000,8.55,221,18.24,31.17,12.07
221,2017-08-02T12:41:00,25.68,761.67,65.06,1005.48,0.0000,6.33,190,18.63,32.02,10.93
222,2017-08-02T12:51:00,26.22,810.69,61.57,1005.42,0.0000,7.30,213,18.26,32.29,13.14
223,2017-08-02T13:01:00,25.99,292.93,61.78,1005.24,0.0000,8.05,210,18.09,31.93,11.53
224,2017-08-02T13:11:00,26.09,584.39,60.82,1005.19,0.0000,8.23,220,17.94,31.93,11.76
225,2017-08-02T13:21:00,26.42,564.53,60.49,1005.04,0.0000,8.77,236,18.17,32.43,13.43
226,2017-08-02T13:31:00,26.33,680.21,59.88,1005.15,0.0000,9.73,221,17.92,32.16,13.07
227,2017-08-02T13:41:00,27.42,872.38,56.42,1005.10,0.0000,6.16,215,17.99,33.29,8.48
228,2017-08-02T13:51:00,26.85,861.60,57.98,1004.80,0.0000,7.33,226,17.89,32.65,12.50
229,2017-08-02T14:01:00,28.01,925.38,52.96,1004.79,0.0000,6.83,204,17.54,33.57,14.34
230,2017-08-02T14:11:00,27.40,918.85,54.84,1004.69,0.0000,8.29,204,17.53,32.95,14.21
231,2017-08-02T14:21:00,28.27,875.07,51.11,1004.60,0.0000,6.83,192,17.21,33.59,11.35
232,2017-08-02T14:31:00,28.14,990.51,52.28,1004.46,0.0000,8.53,252,17.45,33.63,18.73
233,2017-08-02T14:41:00,28.03,723.11,50.23,1004.46,0.0000,10.27,263,16.72,33.02,19.41
234,2017-08-02T14:51:00,28.09,943.71,50.68,1004.39,0.0000,10.70,280,16.91,33.20,15.71
235,2017-08-02T15:01:00,27.94,810.10,53.43,1004.24,0.0000,10.36,282,17.61,33.54,16.49
236,2017-08-02T15:11:00,28.59,671.26,49.73,1004.20,0.0000,7.29,250,17.07,33.82,11.34
237,2017-08-02T15:21:00,28.70,612.38,49.32,1004.18,0.0000,6.76,228,17.05,33.91,11.46
238,2017-08-02T15:31:00,28.43,767.29,49.74,1004.11,0.0000,12.55,235,16.93,33.56,16.42
239,2017-08-02T15:41:00,28.41,502.72,49.07,1004.08,0.0000,10.37,229,16.70,33.39,14.94
240,2017-08-02T15:51:00,28.45,774.37,51.34,1003.92,0.0000,8.03,248,17.45,33.94,12.81
241,2017-08-02T16:01:00,28.51,550.73,50.33,1003.80,0.0000,7.79,221,17.19,33.83,12.54
242,2017-08-02T16:11:00,28.29,598.71,49.68,1003.68,0.0000,11.41,207,16.78,33.32,16.25
243,2017-08-02T16:21:00,28.57,396.77,48.49,1003.60,0.0000,10.76,248,16.65,33.51,16.08
244,2017-08-02T16:31:00,28.20,349.62,50.62,1003.58,0.0000,11.83,271,16.99,33.37,13.75
245,2017-08-02T16:41:00,28.51,497.89,49.57,1003.63,0.0000,9.79,253,16.95,33.65,14.88
246,2017-08-02T16:51:00,28.54,472.85,48.64,1003.54,0.0000,9.16,262,16.68,33.50,12.22
247,2017-08-02T17:01:00,28.63,612.52,49.71,1003.31,0.0000,7.68,217,17.10,33.88,12.40
248,2017-08-02T17:11:00,28.86,451.65,49.22,1003.15,0.0000,7.35,210,17.15,34.14,11.43
