_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-08-01T00:02:00,20.88,0.00,91.63,998.08,0.0000,8.14,2,19.47,27.87,8.86
2,2017-08-01T00:12:00,20.99,0.01,91.26,997.98,0.0000,7.05,16,19.51,28.02,8.16
3,2017-08-01T00:22:00,20.94,0.01,91.08,997.90,0.0000,8.41,31,19.43,27.90,10.75
4,2017-08-01T00:32:00,21.00,-0.04,90.74,997.75,0.0000,7.24,33,19.43,27.96,8.75
5,2017-08-01T00:42:00,20.98,-0.01,90.72,997.78,0.0000,5.16,13,19.40,27.92,7.62
6,2017-08-01T00:52:00,20.83,-0.04,91.21,997.80,0.0000,4.91,22,19.34,27.72,7.22
7,2017-08-01T01:02:00,20.83,-0.09,91.26,997.73,0.0000,6.09,28,19.36,27.73,8.50
8,2017-08-01T01:12:00,20.74,-0.05,91.36,997.69,0.0000,6.08,42,19.28,27.59,9.15
9,2017-08-01T01:22:00,20.71,-0.06,91.49,997.55,0.0000,6.69,65,19.28,27.56,10.27
10,2017-08-01T01:32:00,20.70,0.01,91.38,997.61,0.0000,4.72,48,19.24,27.51,8.42
11,2017-08-01T01:42:00,20.77,-0.01,90.75,997.65,0.0000,3.82,32,19.20,27.55,4.96
12,2017-08-01T01:52:00,20.89,0.11,90.78,997.73,0.0000,1.17,57,19.33,27.77,2.21
13,2017-08-01T02:02:00,20.73,0.12,90.87,997.78,0.0000,3.08,307,19.19,27.51,5.12
14,2017-08-01T02:12:00,20.80,0.10,91.00,998.06,0.0000,4.36,284,19.28,27.64,7.55
15,2017-08-01T02:22:00,20.73,0.14,90.85,998.03,0.0000,2.22,292,19.18,27.50,3.27
16,2017-08-01T02:32:00,20.78,0.11,90.56,998.31,0.0000,2.54,262,19.18,27.55,4.73
