_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-10-01T00:02:00,12.27,-0.21,94.09,1006.33,0.0100,9.49,229,11.35,12.27,12.96
2,2017-10-01T00:12:00,12.31,-0.22,93.77,1006.47,0.0000,7.94,233,11.33,12.31,12.09
3,2017-10-01T00:22:00,12.36,-0.19,93.50,1006.45,0.0050,8.37,229,11.34,12.36,11.17
4,2017-10-01T00:32:00,12.34,-0.19,93.42,1006.43,0.0000,7.66,229,11.31,12.34,11.86
5,2017-10-01T00:42:00,12.37,-0.23,93.49,1006.43,0.0000,7.77,222,11.35,12.37,10.34
6,2017-10-01T00:52:00,12.38,-0.21,93.60,1006.57,0.0000,5.11,229,11.38,12.38,6.72
7,2017-10-01T01:02:00,12.27,-0.25,93.30,1006.57,0.0000,8.16,231,11.22,12.27,11.13
8,2017-10-01T01:12:00,12.24,-0.19,93.42,1006.55,0.0050,7.11,232,11.21,12.24,10.27
9,2017-10-01T01:22:00,12.17,-0.13,93.67,1006.45,0.0000,5.69,223,11.18,12.17,8.91
10,2017-10-01T01:32:00,12.11,-0.15,93.88,1006.45,0.0000,5.64,215,11.15,12.11,7.31
11,2017-10-01T01:42:00,12.00,-0.18,94.09,1006.51,0.0000,5.70,213,11.08,12.00,7.25
12,2017-10-01T01:52:00,11.93,-0.13,94.24,1006.62,0.0000,5.68,215,11.04,11.93,8.95
13,2017-10-01T02:02:00,12.02,-0.09,94.35,1006.68,0.0000,8.19,230,11.14,12.02,9.96
14,2017-10-01T02:12:00,11.85,-0.15,94.36,1006.72,0.0000,8.08,225,10.98,11.85,11.16
15,2017-10-01T02:22:00,11.83,-0.14,94.38,1006.70,0.0000,7.01,228,10.96,11.83,9.75
16,2017-10-01T02:32:00,11.75,-0.13,94.30,1006.76,0.0050,5.33,231,10.86,11.75,8.65
17,2017-10-01T02:42:00,11.71,-0.14,94.15,1006.80,0.0000,8.08,228,10.80,11.71,10.04
18,2017-10-01T02:52:00,11.63,-0.13,94.07,1006.80,0.0000,7.96,236,10.71,11.63,10.82
19,2017-10-01T03:02:00,11.55,-0.10,93.99,1006.91,0.0000,5.07,227,10.61,11.55,6.48
20,2017-10-01T03:12:00,11.42,-0.08,94.02,1006.93,0.0000,5.45,206,10.49,11.42,7.60
21,2017-10-01T03:22:00,11.35,-0.21,94.05,1007.01,0.0050,6.96,188,10.43,11.35,8.20
22,2017-10-01T03:32:00,11.26,-0.13,94.02,1007.05,0.0000,5.90,195,10.33,11.26,6.75
23,2017-10-01T03:42:00,11.18,-0.21,93.93,1007.04,0.0000,5.09,202,10.24,11.18,6.05
24,2017-10-01T03:52:00,11.13,-0.16,93.85,1007.02,0.0000,5.71,202,10.18,11.13,8.27
25,2017-10-01T04:02:00,11.04,-0.18,93.99,1007.04,0.0050,4.53,213,10.12,11.04,7.09
26,2017-10-01T04:12:00,10.93,-0.12,94.04,1007.15,0.0000,4.09,218,10.01,10.93,6.97
27,2017-10-01T04:22:00,10.81,-0.08,94.24,1007.27,0.0000,5.92,224,9.92,10.81,7.89
28,2017-10-01T04:32:00,10.75,-0.11,94.27,1007.42,0.0050,7.53,230,9.87,10.75,10.78
29,2017-10-01T04:42:00,10.77,-0.20,94.11,1007.44,0.0000,5.99,227,9.86,10.77,10.44
30,2017-10-01T04:52:00,10.62,-0.10,94.03,1007.65,0.0050,5.62,226,9.71,10.62,6.89
31,2017-10-01T05:02:00,10.52,-0.15,93.97,1007.77,0.0050,5.58,216,9.59,10.52,7.38
