_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-02-01T00:03:00,2.68,-0.60,82.92,1003.90,0.0000,5.36,45,0.08,1.30,7.28
2,2017-02-01T00:13:00,2.70,-0.58,83.23,1003.90,0.0000,4.26,41,0.14,2.70,5.81
3,2017-02-01T00:23:00,2.51,-0.54,83.93,1004.02,0.0000,7.42,35,0.07,0.38,9.84
4,2017-02-01T00:33:00,2.40,-0.52,84.80,1003.92,0.0000,7.99,35,0.11,0.09,10.31
5,2017-02-01T00:43:00,2.26,-0.51,85.35,1004.01,0.0000,9.79,35,0.06,-0.56,11.50
6,2017-02-01T00:53:00,2.20,-0.54,85.63,1003.90,0.0000,9.39,36,0.04,-0.54,11.31
7,2017-02-01T01:03:00,2.21,-0.45,85.84,1004.01,0.0000,8.12,35,0.09,-0.17,10.56
8,2017-02-01T01:13:00,2.14,-0.51,86.17,1003.99,0.0000,8.50,36,0.07,-0.37,10.39
9,2017-02-01T01:23:00,2.03,-0.52,86.75,1004.00,0.0000,8.95,35,0.06,-0.62,10.34
10,2017-02-01T01:33:00,1.98,-0.54,87.05,1004.01,0.0000,7.63,37,0.06,-0.30,10.46
11,2017-02-01T01:43:00,1.95,-0.52,87.15,1004.00,0.0000,8.21,37,0.04,-0.51,10.05
12,2017-02-01T01:53:00,1.89,-0.51,87.26,1004.04,0.0000,8.21,36,-0.01,-0.59,10.64
13,2017-02-01T02:03:00,1.90,-0.51,87.44,1004.09,0.0000,5.54,34,0.03,0.34,9.16
14,2017-02-01T02:13:00,2.14,-0.50,86.93,1004.02,0.0000,2.24,39,0.19,2.14,3.63
15,2017-02-01T02:23:00,2.14,-0.52,86.39,1004.00,0.0000,5.88,36,0.11,0.48,8.76
