_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-01-01T00:03:00,-4.06,-0.65,98.68,1014.66,0.0000,7.60,169,-4.24,-7.36,10.84
2,2017-01-01T00:13:00,-3.83,-0.63,98.77,1014.55,0.0000,6.06,185,-3.99,-6.45,8.59
3,2017-01-01T00:23:00,-3.69,-0.65,98.67,1014.43,0.0000,6.93,188,-3.87,-6.67,8.64
4,2017-01-01T00:33:00,-3.94,-0.63,98.71,1014.29,0.0000,6.88,190,-4.12,-6.94,8.93
5,2017-01-01T00:43:00,-4.09,-0.64,98.73,1014.06,0.0000,7.67,192,-4.27,-7.43,10.60
6,2017-01-01T00:53:00,-3.75,-0.67,98.72,1013.93,0.0000,5.89,190,-3.92,-6.29,7.99
7,2017-01-01T01:03:00,-3.77,-0.62,98.74,1013.93,0.0000,6.07,207,-3.94,-6.39,8.92
8,2017-01-01T01:13:00,-4.65,-0.64,98.69,1013.83,0.0000,7.01,178,-4.82,-7.81,11.48
9,2017-01-01T01:23:00,-4.20,-0.65,98.73,1013.61,0.0000,6.54,168,-4.37,-7.09,8.17
10,2017-01-01T01:33:00,-3.85,-0.67,98.78,1013.51,0.0000,5.59,181,-4.02,-6.26,6.70
11,2017-01-01T01:43:00,-3.97,-0.65,98.77,1013.25,0.0000,6.74,193,-4.13,-6.91,8.86
12,2017-01-01T01:53:00,-3.89,-0.69,98.73,1013.20,0.0000,5.51,214,-4.06,-6.26,9.76
13,2017-01-01T02:03:00,-3.75,-0.64,98.75,1013.09,0.0000,7.53,197,-3.92,-6.97,12.29
14,2017-01-01T02:13:00,-3.73,-0.67,98.79,1012.95,0.0000,5.27,206,-3.90,-5.97,7.94
15,2017-01-01T02:23:00,-3.73,-0.66,98.80,1012.81,0.0000,5.85,195,-3.89,-6.25,8.96
16,2017-01-01T02:33:00,-3.65,-0.63,98.85,1012.61,0.0000,5.82,193,-3.80,-6.13,8.23
17,2017-01-01T02:43:00,-3.70,-0.64,98.79,1012.55,0.0000,6.69,194,-3.86,-6.58,9.45
