_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-12-01T00:05:00,1.70,-0.48,87.77,993.14,0.0000,3.22,227,-0.11,1.70,4.54
2,2017-12-01T00:15:00,1.66,-0.52,88.24,993.14,0.0000,1.64,239,-0.07,1.66,3.60
3,2017-12-01T00:25:00,1.62,-0.38,88.49,993.08,0.0000,2.84,233,-0.08,1.62,3.67
4,2017-12-01T00:35:00,1.60,-0.44,88.76,993.08,0.0000,3.12,230,-0.05,1.60,5.04
5,2017-12-01T00:45:00,1.58,-0.45,89.07,993.02,0.0000,4.48,202,-0.02,1.58,7.67
6,2017-12-01T00:55:00,1.34,-0.52,90.06,993.02,0.0000,6.29,217,-0.11,-0.59,9.39
7,2017-12-01T01:05:00,1.20,-0.54,91.49,993.04,0.0000,5.26,236,-0.04,-0.35,7.61
8,2017-12-01T01:15:00,0.97,-0.54,92.12,993.14,0.0000,6.08,233,-0.16,-0.94,9.48
9,2017-12-01T01:25:00,1.01,-0.52,92.47,993.18,0.0000,4.03,239,-0.07,1.01,7.99
10,2017-12-01T01:35:00,1.06,-0.52,92.06,993.21,0.0000,4.00,209,-0.09,1.06,6.90
11,2017-12-01T01:45:00,1.01,-0.52,92.25,993.25,0.0000,6.80,184,-0.11,-1.16,9.16
12,2017-12-01T01:55:00,0.88,-0.49,92.80,993.25,0.0000,6.70,186,-0.16,-1.28,9.69
13,2017-12-01T02:05:00,0.75,-0.52,93.08,993.40,0.0000,8.99,199,-0.24,-2.15,14.47
14,2017-12-01T02:15:00,0.73,-0.58,93.22,993.45,0.0000,6.54,196,-0.24,-1.39,9.19
15,2017-12-01T02:25:00,0.68,-0.54,93.30,993.59,0.0700,4.18,221,-0.28,0.68,6.07
16,2017-12-01T02:35:00,0.67,-0.54,93.47,993.72,0.1600,3.27,208,-0.26,0.67,6.45
17,2017-12-01T02:45:00,0.46,-0.52,93.67,993.72,0.1400,5.88,197,-0.44,-1.44,7.58
18,2017-12-01T02:55:00,0.38,-0.53,93.87,993.80,0.2100,5.05,223,-0.49,-1.18,8.05
19,2017-12-01T03:05:00,0.32,-0.53,94.10,993.87,0.1950,6.28,221,-0.52,-1.77,8.17
20,2017-12-01T03:15:00,0.73,-0.52,94.29,993.87,0.1650,5.21,235,-0.08,-0.85,9.24
21,2017-12-01T03:25:00,0.26,-0.58,94.42,993.96,0.0700,5.20,224,-0.53,-1.39,6.85
22,2017-12-01T03:35:00,0.62,-0.55,94.52,993.98,0.0350,4.85,232,-0.16,0.62,6.75
23,2017-12-01T03:45:00,0.48,-0.54,94.56,994.14,0.0300,3.97,227,-0.29,0.48,5.65
24,2017-12-01T03:55:00,0.46,-0.52,94.58,994.20,0.0350,4.32,238,-0.31,0.46,7.00
25,2017-12-01T04:05:00,0.38,-0.49,94.62,994.22,0.0450,6.32,232,-0.38,-1.71,9.27
26,2017-12-01T04:15:00,0.27,-0.50,94.64,994.32,0.0300,6.31,225,-0.48,-1.83,8.87
27,2017-12-01T04:25:00,0.33,-0.55,94.64,994.44,0.0000,6.15,226,-0.42,-1.70,9.45
28,2017-12-01T04:35:00,0.42,-0.54,94.63,994.52,0.0000,5.63,216,-0.34,-1.40,8.42
29,2017-12-01T04:45:00,0.47,-0.55,94.58,994.57,0.0000,6.23,227,-0.29,-1.57,8.94
30,2017-12-01T04:55:00,0.51,-0.53,94.53,994.69,0.0000,5.18,241,-0.27,-1.09,7.83
31,2017-12-01T05:05:00,0.67,-0.59,94.48,994.71,0.0000,4.19,216,-0.12,0.67,6.56
32,2017-12-01T05:15:00,0.61,-0.55,94.42,994.83,0.0000,2.77,222,-0.18,0.61,4.21
33,2017-12-01T05:25:00,0.62,-0.55,94.33,994.90,0.0000,5.02,218,-0.18,-0.89,7.40
34,2017-12-01T05:35:00,0.57,-0.54,94.32,994.94,0.0000,4.18,210,-0.23,0.57,6.88
35,2017-12-01T05:45:00,0.58,-0.54,94.29,995.06,0.0000,6.55,192,-0.23,-1.57,8.35
36,2017-12-01T05:55:00,0.53,-0.55,94.21,995.15,0.0100,4.80,218,-0.29,0.53,6.16
37,2017-12-01T06:05:00,0.58,-0.54,94.20,995.17,0.0650,5.44,213,-0.24,-1.12,7.93
38,2017-12-01T06:15:00,0.38,-0.56,94.22,995.32,0.0400,3.92,218,-0.44,0.38,5.37
39,2017-12-01T06:25:00,0.42,-0.53,94.26,995.42,0.0700,4.54,214,-0.39,0.42,7.47
40,2017-12-01T06:35:00,0.38,-0.52,94.32,995.55,0.0550,5.12,204,-0.42,-1.21,8.93
41,2017-12-01T06:45:00,0.49,-0.55,94.34,995.65,0.0400,3.52,210,-0.31,0.49,4.92
42,2017-12-01T06:55:00,0.46,-0.53,94.35,995.80,0.0350,4.80,203,-0.34,0.46,6.89
43,2017-12-01T07:05:00,0.59,-0.58,94.34,995.92,0.0600,4.52,208,-0.22,0.59,6.05
44,2017-12-01T07:15:00,0.60,-0.51,94.34,996.02,0.0650,3.47,213,-0.20,0.60,5.09
45,2017-12-01T07:25:00,0.44,-0.53,94.31,996.06,0.0450,4.47,212,-0.37,0.44,6.55
46,2017-12-01T07:35:00,0.57,-0.45,94.25,996.15,0.0300,2.44,224,-0.25,0.57,5.13
47,2017-12-01T07:45:00,0.67,-0.31,94.16,996.30,0.0350,3.62,186,-0.16,0.67,4.36
48,2017-12-01T07:55:00,0.71,0.49,94.04,996.40,0.0300,1.73,157,-0.14,0.71,2.90
49,2017-12-01T08:05:00,0.65,2.02,93.92,996.55,0.0100,2.12,224,-0.21,0.65,3.68
50,2017-12-01T08:15:00,0.65,5.49,93.84,996.75,0.0050,1.94,229,-0.22,0.65,4.04
51,2017-12-01T08:25:00,0.89,13.97,93.76,996.84,0.0050,1.55,195,0.00,0.89,2.97
52,2017-12-01T08:35:00,1.04,11.35,93.51,997.09,0.0000,0.89,46,0.11,1.04,1.56
53,2017-12-01T08:38:00,1.05,11.40,93.41,997.15,0.0000,1.12,67,0.11,1.05,2.75
54,2017-12-01T08:55:00,1.04,18.46,93.08,997.31,0.0000,1.82,82,0.05,1.04,3.60
55,2017-12-01T09:05:00,1.02,19.29,93.09,997.40,0.0050,2.25,64,0.03,1.02,3.61
56,2017-12-01T09:15:00,0.94,20.64,92.96,997.62,0.0050,2.84,62,-0.07,0.94,4.90
57,2017-12-01T09:25:00,1.01,68.27,92.95,997.79,0.0050,1.75,94,0.00,1.01,3.30
58,2017-12-01T09:35:00,1.18,62.59,93.03,997.91,0.0050,2.52,56,0.18,1.18,4.42
59,2017-12-01T09:45:00,1.37,30.82,92.62,998.05,0.0050,1.86,45,0.31,1.37,4.28
60,2017-12-01T09:55:00,1.36,55.74,92.06,998.15,0.0000,3.09,172,0.21,1.36,5.10
61,2017-12-01T10:05:00,1.35,53.53,91.35,998.39,0.0000,2.99,220,0.09,1.35,4.51
62,2017-12-01T10:15:00,1.32,49.44,91.26,998.49,0.0000,3.21,184,0.05,1.32,5.06
63,2017-12-01T10:25:00,1.30,68.30,91.37,998.59,0.0000,3.64,202,0.05,1.30,5.32
64,2017-12-01T10:35:00,1.55,75.26,91.57,998.74,0.0000,2.77,220,0.33,1.55,4.52
65,2017-12-01T10:45:00,1.55,55.66,91.04,998.79,0.0000,4.37,218,0.25,1.55,6.04
66,2017-12-01T10:55:00,1.47,92.04,89.61,998.94,0.0000,4.03,217,-0.05,1.47,6.87
67,2017-12-01T11:05:00,1.58,120.67,89.22,999.00,0.0000,3.47,7,0.00,1.58,5.06
68,2017-12-01T11:15:00,1.70,83.37,89.43,999.08,0.0000,2.66,33,0.15,1.70,3.84
69,2017-12-01T11:25:00,1.54,84.24,90.08,999.12,0.0000,4.62,66,0.09,1.54,6.41
70,2017-12-01T11:35:00,1.54,40.98,90.50,999.25,0.0000,3.29,36,0.15,1.54,4.87
71,2017-12-01T11:45:00,1.69,36.91,90.53,999.25,0.0000,3.87,29,0.31,1.69,5.22
72,2017-12-01T11:55:00,1.78,19.34,90.32,999.29,0.0000,5.31,18,0.36,0.30,6.87
73,2017-12-01T12:05:00,1.77,24.59,89.76,999.37,0.0000,6.23,358,0.27,-0.07,8.26
74,2017-12-01T12:15:00,1.72,50.12,89.90,999.36,0.3700,5.46,4,0.24,0.16,6.60
75,2017-12-01T12:25:00,1.51,60.74,89.86,999.38,0.4000,6.33,5,0.03,-0.41,7.69
76,2017-12-01T12:35:00,1.27,86.07,90.64,999.40,0.3600,5.42,343,-0.09,-0.33,7.27
77,2017-12-01T12:45:00,1.29,119.22,91.25,999.42,0.1650,4.12,346,0.02,1.29,5.72
78,2017-12-01T12:55:00,1.30,178.95,91.08,999.59,0.1050,5.13,14,0.00,-0.18,8.12
79,2017-12-01T13:05:00,1.55,291.44,90.61,999.59,0.0250,4.33,17,0.18,1.55,5.37
80,2017-12-01T13:15:00,1.93,288.35,89.66,999.68,0.0050,3.09,19,0.41,1.93,5.50
81,2017-12-01T13:25:00,2.33,145.26,87.64,999.74,0.0000,6.16,2,0.49,0.59,8.24
82,2017-12-01T13:35:00,1.95,132.35,86.91,999.81,0.0000,5.06,343,0.00,0.59,7.15
83,2017-12-01T13:45:00,1.93,201.98,86.31,999.89,0.0000,3.90,329,-0.11,1.93,6.61
84,2017-12-01T13:55:00,1.94,277.09,86.19,999.93,0.0000,3.55,336,-0.12,1.94,6.15
85,2017-12-01T14:05:00,2.28,232.19,84.18,1000.01,0.0000,4.71,17,-0.11,2.28,6.18
