_id,Date and time (YYYY-MM-DD HH:MM:SS),Temperature (Degree Celcius),Global irradiance (W/m^2),Humidity (%),Atmospheric pressure (hPa; not normalized to sea level),Precipitation (mm),Average wind speed (km/h; 10min window),Wind direction (Degree),Dew point (Degree Celcius),Apparent temperature (Degree Celcius),Maximum wind speed (km/h; 10min window)
1,2017-05-01T00:05:00,14.28,-0.19,40.25,990.84,0.0000,6.60,89,0.96,14.28,9.13
2,2017-05-01T00:15:00,14.22,-0.24,40.48,990.80,0.0000,6.19,89,0.98,14.22,7.97
3,2017-05-01T00:25:00,14.04,-0.23,40.70,990.62,0.0000,7.03,83,0.90,14.04,8.64
4,2017-05-01T00:35:00,13.96,-0.23,40.87,990.51,0.0000,8.98,91,0.88,13.96,11.63
5,2017-05-01T00:45:00,13.92,-0.28,40.96,990.47,0.0000,7.10,88,0.88,13.92,9.10
6,2017-05-01T00:55:00,13.89,-0.21,40.99,990.47,0.0000,8.48,93,0.86,13.89,12.50
7,2017-05-01T01:05:00,13.87,-0.31,41.15,990.49,0.0000,7.86,94,0.90,13.87,10.22
8,2017-05-01T01:15:00,13.72,-0.29,41.53,990.48,0.0000,4.94,86,0.89,13.72,7.76
9,2017-05-01T01:25:00,13.53,-0.25,42.50,990.35,0.0000,7.16,89,1.04,13.53,10.68
10,2017-05-01T01:35:00,13.35,-0.33,43.22,990.48,0.0000,3.92,36,1.10,13.35,8.48
11,2017-05-01T01:45:00,13.29,-0.25,43.35,990.40,0.0000,8.17,97,1.09,13.29,9.34
12,2017-05-01T01:55:00,13.17,-0.44,43.99,990.52,0.0000,3.34,46,1.19,13.17,5.29
13,2017-05-01T02:05:00,12.98,-0.30,44.92,990.50,0.0000,5.26,94,1.31,12.98,7.97
14,2017-05-01T02:15:00,12.90,-0.26,45.71,990.56,0.0000,5.70,87,1.48,12.90,8.50
15,2017-05-01T02:25:00,12.55,-0.31,47.41,990.70,0.0000,3.40,73,1.66,12.55,4.30
16,2017-05-01T02:35:00,12.28,-0.32,48.53,990.91,0.0000,3.78,73,1.75,12.28,6.17
17,2017-05-01T02:45:00,12.03,-0.04,49.16,991.00,0.0000,1.80,82,1.69,12.03,4.48
18,2017-05-01T02:55:00,11.97,-0.22,49.80,990.95,0.0000,2.62,97,1.82,11.97,3.94
19,2017-05-01T03:05:00,12.07,0.01,49.96,991.10,0.0000,2.77,129,1.96,12.07,3.76
20,2017-05-01T03:15:00,11.86,-0.19,50.97,991.18,0.0000,2.96,99,2.04,11.86,4.17
21,2017-05-01T03:25:00,11.81,0.02,51.33,991.27,0.0000,3.29,171,2.10,11.81,4.89
22,2017-05-01T03:35:00,11.64,-0.04,52.74,991.50,0.0000,4.47,213,2.32,11.64,5.88
23,2017-05-01T03:45:00,10.66,-0.23,58.37,991.67,0.0000,7.44,217,2.83,10.66,10.83
24,2017-05-01T03:55:00,10.02,-0.23,61.49,991.78,0.0000,6.87,217,2.96,10.02,10.28
25,2017-05-01T04:05:00,9.80,-0.30,62.32,991.80,0.0000,7.74,224,2.95,9.80,10.74
26,2017-05-01T04:15:00,9.83,-0.14,61.96,991.97,0.0000,5.83,208,2.89,9.83,8.76
27,2017-05-01T04:25:00,9.75,-0.23,62.34,992.12,0.0000,5.94,211,2.90,9.75,9.08
28,2017-05-01T04:35:00,9.83,-0.31,62.52,992.11,0.0000,6.08,222,3.02,9.83,7.74
29,2017-05-01T04:45:00,9.80,-0.21,62.24,992.21,0.0000,5.65,221,2.93,9.80,7.54
30,2017-05-01T04:55:00,9.84,-0.23,61.88,992.30,0.0000,5.56,221,2.88,9.84,7.12
31,2017-05-01T05:05:00,9.88,-0.24,61.34,992.45,0.0000,6.33,215,2.80,9.88,7.50
32,2017-05-01T05:15:00,10.11,-0.26,60.61,992.49,0.0000,4.26,227,2.84,10.11,5.80
33,2017-05-01T05:25:00,10.42,-0.25,61.41,992.58,0.0000,6.49,231,3.32,10.42,8.33
34,2017-05-01T05:35:00,10.68,-0.28,62.90,992.70,0.0000,7.46,243,3.91,10.68,10.41
35,2017-05-01T05:45:00,10.93,-0.14,64.35,992.86,0.0000,7.55,245,4.47,10.93,8.76
36,2017-05-01T05:55:00,11.09,0.59,65.81,993.09,0.0000,7.01,250,4.94,11.09,8.43
37,2017-05-01T06:05:00,11.37,2.33,67.42,993.23,0.0000,8.80,247,5.56,11.37,10.96
38,2017-05-01T06:15:00,11.60,1.89,68.50,993.35,0.0000,9.08,251,6.00,11.60,12.10
39,2017-05-01T06:25:00,11.83,1.38,68.97,993.52,0.0000,7.14,255,6.33,11.83,11.07
40,2017-05-01T06:35:00,11.94,2.54,69.07,993.69,0.0000,9.50,243,6.45,11.94,12.31
41,2017-05-01T06:45:00,11.99,2.94,69.04,993.96,0.0000,11.45,241,6.50,11.99,18.03
42,2017-05-01T06:55:00,11.52,4.35,66.85,994.01,0.0000,17.42,242,5.58,11.52,23.90
43,2017-05-01T07:05:00,11.19,8.39,66.80,994.10,0.0000,14.55,245,5.26,11.19,19.49
44,2017-05-01T07:15:00,10.76,11.25,68.19,994.30,0.0000,18.25,244,5.14,10.76,24.22
45,2017-05-01T07:25:00,10.51,14.25,68.95,994.58,0.0000,14.52,240,5.06,10.51,19.75
46,2017-05-01T07:35:00,10.32,13.73,70.98,994.96,0.0000,15.01,244,5.29,10.32,18.98
47,2017-05-01T07:45:00,10.35,32.91,71.02,995.32,0.0000,11.07,243,5.33,10.35,17.08
48,2017-05-01T07:55:00,10.29,28.37,67.58,995.61,0.0000,14.21,249,4.56,10.29,21.98
49,2017-05-01T08:05:00,10.01,26.22,66.92,995.79,0.0000,16.71,245,4.15,10.01,23.42
50,2017-05-01T08:15:00,10.00,34.83,67.57,996.13,0.0000,13.80,244,4.28,10.00,21.22
51,2017-05-01T08:25:00,9.65,41.36,68.26,996.27,0.0000,14.08,236,4.09,9.65,21.88
52,2017-05-01T08:35:00,9.56,46.85,68.22,996.47,0.0000,13.05,236,4.00,9.56,17.73
53,2017-05-01T08:39:00,9.40,49.45,68.54,996.58,0.0000,15.84,243,3.92,9.40,25.75
54,2017-05-01T08:55:00,8.72,69.16,75.86,997.07,0.0000,16.20,239,4.70,8.72,18.65
55,2017-05-01T09:05:00,8.43,63.29,79.52,997.28,0.0500,15.99,236,5.10,8.43,20.23
56,2017-05-01T09:15:00,8.10,64.87,81.46,997.48,0.1050,16.55,237,5.12,8.10,19.01
57,2017-05-01T09:25:00,8.12,79.11,83.29,997.60,0.1650,14.42,246,5.46,8.12,15.77
58,2017-05-01T09:35:00,7.88,68.10,85.84,997.76,0.1750,13.37,245,5.66,7.88,17.14
59,2017-05-01T09:45:00,7.75,59.07,87.95,997.94,0.1450,10.64,239,5.88,7.75,18.21
60,2017-05-01T09:55:00,7.77,77.35,89.36,997.90,0.1100,9.69,235,6.13,7.77,13.41
61,2017-05-01T10:05:00,7.83,112.99,89.86,997.97,0.0850,8.43,235,6.27,7.83,12.59
62,2017-05-01T10:15:00,7.79,106.26,89.06,998.21,0.0550,12.70,230,6.10,7.79,16.85
63,2017-05-01T10:25:00,8.00,148.30,89.72,998.20,0.0550,9.41,237,6.42,8.00,12.53
64,2017-05-01T10:35:00,7.95,60.96,88.07,998.27,0.0600,10.79,233,6.10,7.95,18.87
65,2017-05-01T10:45:00,8.01,45.28,87.36,998.21,0.0600,10.82,235,6.04,8.01,14.17
66,2017-05-01T10:55:00,8.25,114.30,86.49,998.35,0.0200,12.33,242,6.13,8.25,16.32
67,2017-05-01T11:05:00,8.26,78.99,86.12,998.45,0.0000,11.59,245,6.08,8.26,19.33
68,2017-05-01T11:15:00,8.13,71.05,85.75,998.49,0.0000,11.19,236,5.89,8.13,14.56
